SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1224.00,1322.70,1224.00,1306.40,1306.40,1223.05,9118,63540,82031625.00,
500003,AEGIS LOGIS ,B ,Q,438.00,452.90,437.20,443.00,443.00,436.80,1032,9149,4086103.00,
500008,AMAR RAJA BA,A ,Q,807.45,820.20,807.45,816.05,816.05,804.60,1798,21220,17279148.00,
500009,A.SARABHAI  ,B ,Q,4.51,4.54,4.48,4.49,4.49,4.77,33,4609,20723.00,
500010,HDFC        ,A ,Q,1139.00,1139.00,1118.00,1131.35,1129.60,1123.70,5522,84093,94647182.00,
500012,ANDHRA PETRO,B ,Q,12.00,12.28,11.96,12.07,11.96,12.07,194,29603,358580.00,
500013,ANSAL INFRAS,B ,Q,24.20,24.30,23.00,23.30,23.30,24.00,563,64562,1526905.00,
500014,APPLE FINANC,B ,Q,2.55,2.73,2.55,2.58,2.58,2.74,24,3500,9128.00,
500020,BOM DYEING  ,B ,Q,65.50,66.75,65.50,65.85,65.85,65.65,2419,194995,12892204.00,
500023,ASIANHOTNR  ,B ,Q,120.00,121.00,116.55,121.00,121.00,119.75,14,700,83836.00,
500024,ASSAMCO     ,B ,Q,5.39,5.84,5.22,5.69,5.69,4.88,9482,5518934,30682539.00,
500027,ATUL LTD.   ,A ,Q,1361.00,1400.00,1361.00,1395.90,1395.90,1348.20,1053,7016,9730982.00,
500028,ATV PROJECTS,T ,Q,2.78,3.01,2.78,2.88,2.86,2.89,24,1884,5572.00,
500029,AUTOLITE(I) ,B ,Q,36.15,36.15,34.95,34.95,34.95,34.00,7,200,7110.00,
500030,AUTORID.FIN ,B ,Q,0.78,0.79,0.78,0.79,0.79,0.78,16,3813,2987.00,
500031,BAJAJ ELECT.,A ,Q,218.95,223.35,218.95,219.55,219.55,218.75,859,17053,3763938.00,
500032,BAJAJHIND.LT,B ,Q,19.00,19.05,18.55,18.65,18.65,18.80,785,230921,4331902.00,
500033,FORCE MOTR  ,B ,Q,1079.00,1111.00,1073.10,1100.10,1100.10,1073.40,6820,91195,99712093.00,
500034,BAJFINANCE  ,A ,Q,3472.15,3475.00,3435.00,3462.15,3473.95,3475.20,235,753,2604344.00,
500038,BALRAM.CHINI,A ,Q,58.55,58.55,57.90,58.30,58.30,57.95,592,43529,2535309.00,
500039,BANCO PROD. ,B ,Q,161.50,163.40,160.05,161.05,160.45,161.55,109,2249,362399.00,
500040,CENTURY TEXT,A ,Q,520.00,521.05,508.50,517.05,517.05,518.95,3049,90255,46538412.00,
500042,BASF INDIA  ,B ,Q,1220.00,1264.90,1220.00,1247.90,1247.90,1211.20,1611,5794,7206191.00,
500043,BATA INDIA  ,A ,Q,1310.00,1313.80,1294.00,1302.30,1298.00,1306.20,1316,7423,9679378.00,
500048,BEML LTD    ,A ,Q,703.95,754.50,700.60,750.40,750.40,700.30,22730,329000,242740253.00,
500049,BHARAT ELECT,A ,Q,2748.50,2865.00,2737.75,2807.70,2807.70,2729.00,7372,43259,121611872.00,
500051,BHAG GAS    ,Z ,Q,0.84,0.84,0.84,0.84,0.84,0.88,2,100,84.00,
500052,BHANSALI ENG,B ,Q,14.00,14.00,13.65,14.00,14.00,13.95,28,2634,36874.00,
500055,BHUSH STEEL ,A ,Q,89.00,89.05,86.95,87.25,87.25,88.10,783,36454,3201833.00,
500057,ABCIL       ,B ,Q,212.00,221.95,210.00,211.10,210.00,216.20,520,1869,403173.00,
